project_id	experiment_id	sample_id	run_id	data_id	security	fileName	url	MD5
OEP001340	OEX011788	OES065731	OER100165	OED260930	Public	50_FDSW202414462-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260930	f9dbdb6d5923f4b1228f0f48b4c4e22e
OEP001340	OEX011788	OES065732	OER100166	OED260932	Public	51_FDSW202414463-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260932	b2e022028a8c706d7ca0fae1a01a050a
OEP001340	OEX011788	OES065732	OER100166	OED260944	Public	51_FDSW202414463-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260944	6568493b99b243e3bba8075ad9c58505
OEP001340	OEX011788	OES065733	OER100167	OED260937	Public	52_FDSW202414464-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260937	8b4c8749dc1957fc77b22f76fc287500
OEP001340	OEX011788	OES065733	OER100167	OED260949	Public	52_FDSW202414464-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260949	c21bc18ae52cd7e9913b3f827a72d076
OEP001340	OEX011788	OES065734	OER100168	OED260946	Public	53_FDSW202414465-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260946	23d37d76cb784e088dc301e4fd33c8e7
OEP001340	OEX011788	OES065734	OER100168	OED260947	Public	53_FDSW202414465-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260947	748ec1cc192c13aa3390ad98a095fe3b
OEP001340	OEX011788	OES065735	OER100169	OED260945	Public	54_FDSW202414466-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260945	551dc271b2c1b007d1af60245d5e6997
OEP001340	OEX011788	OES065735	OER100169	OED260948	Public	54_FDSW202414466-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260948	f620d145fb5921f8be38a1961e09b4ff
OEP001340	OEX011788	OES065736	OER100170	OED260950	Public	55_FDSW202414467-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260950	b7e499aec54dfbe8b9f8dcc22c9df374
OEP001340	OEX011788	OES065736	OER100170	OED260951	Public	55_FDSW202414467-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260951	9cf1d50080f2e12bdfbdfb13abeca475
OEP001340	OEX011788	OES065737	OER100171	OED260956	Public	56_FDSW202414468-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260956	236157f970af43a6a5ffde04abdd60df
OEP001340	OEX011788	OES065737	OER100171	OED260976	Public	56_FDSW202414468-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260976	171c280c8685b8dab6c95350cd041e7a
OEP001340	OEX011788	OES065739	OER100173	OED260955	Public	61_FDSW202442335-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260955	3fca551a2cad7586d79530d922ba8e34
OEP001340	OEX011788	OES065739	OER100173	OED260969	Public	61_FDSW202442335-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260969	969d5c3e64bfd7344279bbd174315f13
OEP001340	OEX011788	OES065740	OER100174	OED260958	Public	62_FDSW202414474-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260958	ff618bc9e5bb56e93f4dc2ac2bc30a38
OEP001340	OEX011788	OES065740	OER100174	OED260992	Public	62_FDSW202414474-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260992	85c4bf23c633039faa80ce441b630a8d
OEP001340	OEX011788	OES065741	OER100175	OED260965	Public	63_FDME20H101915-2r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260965	7ad5cd0a9ce20e368f2e866416e79fb5
OEP001340	OEX011788	OES065741	OER100175	OED260989	Public	63_FDME20H101915-2r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260989	3399e87748081b905a979d5ad25d2cf7
OEP001340	OEX011788	OES065742	OER100176	OED260960	Public	64_FDSW202414476-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260960	dd8aa9e5844e7d1a25496d817db86448
OEP001340	OEX011788	OES065742	OER100176	OED260972	Public	64_FDSW202414476-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260972	6c85540dac2c8046a6a971c755f9e4f9
OEP001340	OEX011788	OES065743	OER100177	OED260975	Public	66_FDME20H101916-2r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260975	047805ebb6972c45226df6e95be863ca
OEP001340	OEX011788	OES065743	OER100177	OED260979	Public	66_FDME20H101916-2r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260979	e438eefa4e571fdc28fb8470864f6c30
OEP001340	OEX011788	OES065744	OER100178	OED260980	Public	67_FDSW202414479-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260980	ec5aac7db9a114f1fca008ffd92796b7
OEP001340	OEX011788	OES065744	OER100178	OED260985	Public	67_FDSW202414479-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260985	cfd7496fe6be40b26bfaf09c314b9248
OEP001340	OEX011788	OES065745	OER100179	OED260982	Public	68_FDSW202414480-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260982	04a57a165df32385abcd4c39eac3a74e
OEP001340	OEX011788	OES065745	OER100179	OED260984	Public	68_FDSW202414480-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260984	aa286f80e655a3262d0deed5ca5f67ce
OEP001340	OEX011788	OES065747	OER100181	OED260988	Public	69_FDSW202414481-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260988	d2269aea49c098105da9923c41a1dd4b
OEP001340	OEX011788	OES065747	OER100181	OED260990	Public	69_FDSW202414481-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260990	38d36b6429f461792165babd147933d2
OEP001340	OEX011788	OES065748	OER100182	OED260973	Public	70_FDSW202414482-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260973	d41bb579acad60b1cd7336bbe1b87714
OEP001340	OEX011788	OES065748	OER100182	OED260983	Public	70_FDSW202414482-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260983	0611464437919298e73a743803cca68f
OEP001340	OEX011788	OES065749	OER100183	OED260993	Public	71_FDSW202414483-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260993	f5807154c8912bf51e4166661a9e01d8
OEP001340	OEX011788	OES065749	OER100183	OED260994	Public	71_FDSW202414483-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260994	aae9fca84d9049f9aa27096e86e2eb8c
OEP001340	OEX011788	OES065750	OER100184	OED260986	Public	72_FDSW202414484-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260986	d2b50f0d5328702b895089d4b60f1e46
OEP001340	OEX011788	OES065750	OER100184	OED260991	Public	72_FDSW202414484-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260991	e2005cefe44d02614c486cf186e58e22
OEP001340	OEX011788	OES065751	OER100185	OED260987	Public	73_FDME20H101917-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260987	af00040102d3295e811fad3fc50b8b50
OEP001340	OEX011788	OES065751	OER100185	OED260995	Public	73_FDME20H101917-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260995	6ee601e38586fb82bd2d2d675b81436e
OEP001340	OEX011788	OES065752	OER100186	OED260996	Public	74_FDME20H101918-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260996	79889eb70193db87311a48bc634cf952
OEP001340	OEX011788	OES065752	OER100186	OED260998	Public	74_FDME20H101918-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260998	818d52a268b7a47b58c0382aa2ac069a
OEP001340	OEX011788	OES065753	OER100187	OED260997	Public	75_FDME202475862-1a_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260997	5fd5921153d9b9da3c412045f29d6de6
OEP001340	OEX011788	OES065753	OER100187	OED261000	Public	75_FDME202475862-1a_1.fq.gz	https://www.biosino.org/download/node/data/public/OED261000	e512a5cf121c26709ec36c9cffb36eb2
OEP001340	OEX011788	OES065754	OER100188	OED260999	Public	76_FDSW202414488-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260999	54394aa5863013d7b467be748f469e9e
OEP001340	OEX011788	OES065754	OER100188	OED261008	Public	76_FDSW202414488-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED261008	fd076b0a617287060ba0fa6cb1d24148
